hour,station_antwerp,station_paris,station_london
0,26.97445652173913,34.83555555555555,26.866666666666667
1,26.81630434782609,33.87344276094276,23.11111111111111
2,27.404714083175804,31.291518445322794,22.644927536231886
3,26.877777777777776,27.453661616161618,20.785185185185185
4,26.2171568627451,26.071548821548824,20.666666666666668
5,26.238661551577152,26.23499158249158,18.444444444444443
6,26.51572179596476,27.982878787878786,18.555555555555557
7,26.87055981813015,35.01076599326599,20.31111111111111
8,27.169842284739985,39.60976430976431,20.755555555555556
9,27.50245808468315,39.88848484848485,20.555555555555557
10,27.357296106848537,35.929427609427606,21.133333333333333
11,27.023245240125036,30.22774410774411,21.037037037037035
12,26.94613881784598,24.01919191919192,21.54074074074074
13,26.946810173344698,21.02026936026936,22.42222222222222
14,27.14748152884342,19.174680134680134,23.103703703703705
15,27.070375106564367,18.48909090909091,24.629629629629626
16,27.104379795396422,18.236094276094278,27.11111111111111
17,27.360606706450692,19.131153198653198,27.355555555555554
18,27.00572250639386,21.32621212121212,28.377777777777776
19,27.017504973003692,23.434604377104378,28.42222222222222
20,26.940398550724638,23.956329966329967,27.91111111111111
21,27.17113526570048,26.426944444444448,27.511111111111113
22,27.02409420289855,29.415740740740738,27.266666666666666
23,26.943719806763283,32.75564814814815,27.011111111111113
